rms_full,rms_provider,rms_type,display_name,category,track,tf_resource,confidence
dms.rabbitmq_nodes,dms,rabbitmq_nodes,RabbitMQ Brokers,Application,tracked,huaweicloud_dms_rabbitmq_instance,manual
dms.rocketmq_nodes,dms,rocketmq_nodes,Rocketmq Brokers,Application,tracked,huaweicloud_dms_rocketmq_instance,manual
domains.domain,domains,domain,domain,Domain & Website,tracked,,unmapped
drs.migrationJob,drs,migrationJob,Online Migration Tasks,Database,tracked,huaweicloud_drs_job,manual
drs.synchronizationJob,drs,synchronizationJob,Data Synchronization Tasks,Database,tracked,huaweicloud_drs_job,manual
drs.dataGuardJob,drs,dataGuardJob,Disaster Recovery Tasks,Database,tracked,huaweicloud_drs_job,manual
drs.subscriptionJob,drs,subscriptionJob,Data Subscription Tasks,Database,tracked,huaweicloud_drs_job,manual
drs.backupMigrationJob,drs,backupMigrationJob,Backup Migration Tasks,Database,tracked,huaweicloud_drs_job,manual
dss.dsspools,dss,dsspools,StoragePools,Storage,tracked,huaweicloud_dss_storage_pool,manual
dss.volumes,dss,volumes,volumes,Storage,tracked,huaweicloud_dss_volume,manual
dws.clusters,dws,clusters,Clusters,EI Enterprise,tracked,huaweicloud_dws_cluster,manual
ec.ecn,ec,ecn,ecn,Enterprise Application,tracked,,unmapped
ec.ieg,ec,ieg,ieg,Enterprise Application,tracked,,unmapped
ec.iegEquipment,ec,iegEquipment,iegEquipment,Enterprise Application,tracked,,unmapped
eg.channels,eg,channels,Channels,Application,untracked,huaweicloud_eg_custom_event_channel,manual
eg.sources,eg,sources,Sources,Application,untracked,huaweicloud_eg_custom_event_source,manual
eg.subscriptions,eg,subscriptions,Subscriptions,Application,untracked,huaweicloud_eg_event_subscription,manual
eg.streamings,eg,streamings,Streamings,Application,untracked,huaweicloud_eg_event_stream,manual
er.instances,er,instances,Enterprise Routers,Network,tracked,huaweicloud_er_instance,manual
er.attachments,er,attachments,Attachments,Network,tracked,huaweicloud_er_vpc_attachment,manual
esw.l2cg-instances,esw,l2cg-instances,Enterprise Switches,Network,tracked,,unmapped
fabric.workspace,fabric,workspace,workspace,EI Enterprise,untracked,,unmapped
fgs.functions,fgs,functions,Functions,Computing,tracked,huaweicloud_fgs_function,manual
flexusrds.instances,flexusrds,instances,Instances,Database,tracked,huaweicloud_rds_instance,manual
